fit_id,cap_hit_frac,mean_steps,median_steps,divergence_rate,early_cap_hit_frac,late_cap_hit_frac,truth.cosi,truth.z,truth.g1,truth.g2,truth.theta_int,truth.vel.vcirc,truth.vel.rscale,truth.F129.rscale,broadband_snr_F129,broadband_snr_F158,line_snr,pop.snr_bb_f129,pop.snr_line_total,galaxy_id,ring_member,min_ess_proxy,low_cosi_or_low_snr
93b40b3f3e9c4145,0.00125,38.69083333333333,31.0,0.017916666666666668,0.005,0.0009090909090909091,0.30639808187194134,1.4197,0.06089002559713884,0.03520508352456532,1.0644838642162797,204.40529367991937,0.1873345713877674,0.21623164957180235,71.2075329162044,122.47832570900403,14.430312586580625,71.2075329162044,28.86062517316125,0,0,335.2664194277979,True
dcbcabdcaad03d0c,0.3466666666666667,81.8775,63.0,0.014166666666666666,0.35,0.3463636363636364,0.30639808187194134,1.4197,0.06089002559713884,0.03520508352456532,2.6352801910111765,204.40529367991937,0.1873345713877674,0.21623164957180235,71.2075329162044,122.47832570900403,14.430312586580625,71.2075329162044,28.86062517316125,0,90,167.1406297179161,True
2b1f2a0a8aa6eae5,0.30541666666666667,75.70333333333333,63.0,0.07416666666666667,0.285,0.30727272727272725,0.08539576534299584,1.6856,-0.021709029129108975,-0.0007309145832954237,2.887612286469767,129.6240185366757,0.030794693014566374,0.11881269478906267,86.39928844436643,109.45081281732207,11.541828272379936,86.39928844436643,23.083656544759872,1,0,94.18552047911444,True
c3911e44b51600fa,0.0004166666666666667,30.2,31.0,0.022916666666666665,0.0,0.00045454545454545455,0.08539576534299584,1.6856,-0.021709029129108975,-0.0007309145832954237,1.3168159596748703,129.6240185366757,0.030794693014566374,0.11881269478906267,86.39928844436643,109.45081281732207,11.541828272379936,86.39928844436643,23.083656544759872,1,90,231.76523887953388,True
20a2487989eef869,0.075,58.88791666666667,63.0,0.02875,0.115,0.07136363636363637,0.201284987446317,1.5503,0.05967062132106811,-0.023400168090410556,2.79433038207939,197.56968019049577,0.06856632621720775,0.12071039638687965,76.2936872919795,89.62410627069532,21.3151452566898,76.2936872919795,42.6302905133796,2,0,194.2667184376079,True
0aab15fca9981aab,0.004583333333333333,37.88791666666667,31.0,0.014166666666666666,0.015,0.0036363636363636364,0.201284987446317,1.5503,0.05967062132106811,-0.023400168090410556,1.2235340552844933,197.56968019049577,0.06856632621720775,0.12071039638687965,76.2936872919795,89.62410627069532,21.3151452566898,76.2936872919795,42.6302905133796,2,90,260.29841087485664,True
42a97b47727be636,0.0004166666666666667,29.364166666666666,31.0,0.01875,0.0,0.00045454545454545455,0.13862661326266462,1.6835,-0.016189053937126358,0.02141353606990068,1.4697295337638323,154.18070026805043,0.2176781827040367,0.2300556271062811,59.03868401175596,84.71340566385479,13.129879307216322,59.03868401175596,26.259758614432645,3,0,193.33688149117262,True
e2fee294cb2e0c89,0.3616666666666667,78.61208333333333,63.0,0.05458333333333333,0.405,0.3577272727272727,0.13862661326266462,1.6835,-0.016189053937126358,0.02141353606990068,3.040525860558729,154.18070026805043,0.2176781827040367,0.2300556271062811,59.03868401175596,84.71340566385479,13.129879307216322,59.03868401175596,26.259758614432645,3,90,91.0232123994266,True
3b3b62ff658d5183,0.03375,55.38791666666667,63.0,0.03208333333333333,0.04,0.03318181818181818,0.12252873123819902,1.6599,0.017871217028878547,0.0058668295813516045,1.942719441406954,243.0643563363119,0.14026481343454428,0.1562363380019097,118.9075785421174,147.5877281906866,19.126243486409873,118.9075785421174,38.252486972819746,4,0,110.94966786555666,True
a34594a6ded7d256,0.03916666666666667,51.684583333333336,63.0,0.07208333333333333,0.07,0.03636363636363636,0.12252873123819902,1.6599,0.017871217028878547,0.0058668295813516045,0.3719231146120574,243.0643563363119,0.14026481343454428,0.1562363380019097,118.9075785421174,147.5877281906866,19.126243486409873,118.9075785421174,38.252486972819746,4,90,115.88082170043336,True
